ko,name,description,disease_category
"H00152","Sitosterolemia","Sitosterolemia is an autosomal recessive lipid disorder caused by mutation in the ABC transporter gene and characterized by elevated plasma levels of plant sterols due to increased intestinal absorption and reduced biliary secretion of neutral sterols.","Inherited metabolic disease; Cardiovascular disease"
"H01080","Ralstonia pickettii infection","Ralstonia pickettii is a gram-negative aerobic bacillus that can cause infections, mainly of the respiratory tract, in immunocompromised and cystic fibrosis patients.","Infectious disease"
"H00360","Amoebiasis","Amoebiasis is a parasitic disease of gastrointestinal tract caused by Entamoeba histolytica (E. histolytica), an extracellular parasitic protozoan. People living in Central and South America and Africa are at highest risk of infection. Although the majority of individuals infected with E. histolytica remain asymptomatic, some present with amoebic colitis and disseminated disease. Ingestion of contaminated water and food causes this disease.","Infectious disease"
"H02437","Growth retardation, impaired intellectual development, hypotonia, and hepatopathy","Growth retardation, impaired intellectual development, hypotonia, and hepatopathy (GRIDHH) is a prenatal onset syndrome caused by bi-allelic mutations in cytosolic isoleucyl-tRNA synthetase (IARS).","Congenital malformation"
"H01848","Acquired idiopathic generalized anhidrosis","Acquired idiopathic generalized anhidrosis (AIGA) is a rare condition, characterized by generalized absence of sweating without other autonomic and neurologic dysfunction. Most of the cases reported are Japanese. Various pathomechanisms proposed were idiopathic sudomotor dysfunction, sudomotor neuropathy, sweat gland abnormalities and occlusion of proximal duct. The etiology of AIGA remains unclear because of the rarity of this syndrome. According to the limited studies available, various pathologic abnormalities have been reported. Many patients have associated cholinergic urticaria and raised IgE levels. Immunologic mechanisms are considered to be contributory to the disease. Treatment of AIGA almost always comprises steroid pulse therapy or high-dose oral steroids.","Skin and connective tissue disease"
"H01074","Aeromonas infection","Members of the genus Aeromonas are gram-negative bacteria that inhabit various aquatic environments. It can cause a wide spectrum of disease in humans as well as other animals, with gastroenteritis being the most common type of infection. Wound infections and septicaemia are the second and third common disease caused by Aeromonas after gastroenteritis.","Infectious disease"
"H00394","Measles","Measles is a highly contagious infectious disease caused by the measles virus, a morbillivirus in the Paramyxoviridae family of -ssRNA viruses. The disease may have existed for thousands of years. The virus was first isolated in 1954 and transformed into a vaccine in 1963 in the USA.","Infectious disease"
"H01246","Isolated congenital nail clubbing","Isolated congenital nail clubbing (ICNC) is a rare autosomal recessive disorder characterised by enlargement of the terminal segments of fingers and toes with thickened nails due to proliferation of the connective tissues and abnormal function of the nail matrix. It has been reported that mutation in the HPGD gene underlies ICNC.","Congenital malformation"
"H01622","Chronic thromboembolic pulmonary hypertension","Chronic thromboembolic pulmonary hypertension (CTEPH) is classified as group 4 pulmonary hypertension (PH) by the World Health Organization. It is a rare, but underdiagnosed, complication of acute pulmonary embolism (PE) resulting from occlusion of large pulmonary arteries with a fibrothrombotic material and in many cases, the development of a distal vessel arteriopathy that closely mimics pulmonary arterial hypertension. While the pathogenesis of CTEPH is not entirely understood, the primary pathophysiology appears to be related to an initial thrombotic event followed by both inadequate thrombus resolution and secondary arteriopathy. Several risk factors for development of CTEPH have been found, including the size of the initial PE, splenectomy, chronic inflammatory conditions, and indwelling catheters and cardiac pacemaker leads. There is however an increased incidence of elevated factor VIII levels in CTEPH, and this finding persists after treatment. However, none of these findings explain the development of CTEPH in the majority of patients affected by this disease.","Cardiovascular disease"
"H02295","Adermatoglyphia","Adermatoglyphia (ADERM) is a rare autosomal dominant condition characterized by lack of palmoplantar epidermal ridges. Mutations in SMARCAD1 was identified in patients. It seems that haploinsufficiency for the skin-specific isoform of SMARCAD1 directly or indirectly perturbs the expression of important signalling pathways associated with epidermal differentiation.","Congenital malformation"
"H01410","Anaerobic infection","Anaerobic infections are common and some are serious with a high mortality rate. The clinically important anaerobes are several genera of Gram-negative rods (Bacteroides, Prevotella, Porphyromonas, Fusobacterium and Bilophila). Among the Gram-positive anaerobes, there are cocci (primarily Peptostreptococcus) and sporeforming (Clostridium) and non-sporeforming bacilli (especially Actinomyces and Propionibacterium). In terms of frequency, there are four major sites of anaerobic infection - pleuropulmonary, intra-abdominal, female genital tract, and skin and soft tissue infections (with or without involvement of underlying bone). Infectious diseases caused by these anaerobes include following symptoms, bacteremia, brain abscess, neck space infections and infections following head and neck surgery, chronic sinusitis and otitis media, dental and oral infections, pleuropulmonary infections, intra-abdominal infections, female genital tract infections, non-puerperal breast abscesses and diabetic foot ulcers.","Infectious disease"
"H02268","Wieacker-Wolff syndrome","Wieacker-Wolff syndrome (WRWF) is a rare X-linked disorder characterized by congenital contractures of the feet at birth, muscle atrophy, dyspraxia of the eye, face, and tongue muscles, and mental retardation. WRWF is caused by mutations in the ZC4H2 gene, that is involved in human brain development.","Musculoskeletal disease"
"H00369","Exanthema subitum","Human herpesvirus 6 (HHV-6) and human herpesvirus 7 (HHV-7) are human pathogens of members of beta-herpesvirus. Primary infection with HHV-6 and HHV-7 occurs in early childhood and causes short febrile diseases, sometimes associated with cutaneous rash (exanthem subitum). HHV-6 and HHV-7 establish latency in the host following primary infection and may reactivate.","Infectious disease"
"H00967","Adiponectin deficiency","Adiponectin is a major adipocyte-derived protein with insulin-sensitizing, anti-inflammatory and anti-atherogenic properties. Adiponectin deficiency related to several obesity related malignancies including colorectal cancer.","Metabolic disease"
"H01089","Dientamoebiasis","Dientamoeba fragilis is a trichomonad protozoan that belongs to the Parabasalia group. It is found worldwide in the gastrointestinal tract of humans and implicated as a cause of diarrhea.","Infectious disease"
"H01841","Acute encephalopathy with biphasic seizures and late reduced diffusion","Acute encephalopathy with biphasic seizures and reduced diffusion (AESD) is a syndrome of encephalopathy characterized by biphasic seizures. The etiology of AESD has been attributed to viral infection like influenza A and human herpes virus 6. AESD is the most common subtype of infectious pediatric encephalopathy in Japan, and is often observed in children with neurological problems, such as intellectual disability and motor delay. AESD is clinically characterized by a prolonged febrile seizure on day 1, followed by late seizures associated with deterioration of the consciousness level on days 4 to 6, and is radiologically characterized by delayed reduced diffusion in the frontal or frontoparietal subcortical white matter, the so-called bright tree appearance, on days 3 to 9. The exact pathogenesis of AESD is uncertain, however, excitotoxic injury with delayed (or apoptotic) neuronal death is hypothesized to be a possible mechanism.","Nervous system disease"
